udi,product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure
446,L47625,297,308,1793,26,70,0,1,0,0,0,0
7076,L54255,300,310,1536,47,192,0,1,0,0,0,0
1191,L48370,297,308,1460,42,41,0,1,0,0,0,0
2618,L49797,299,309,1670,35,68,0,1,0,0,0,0
5067,L52246,304,313,1550,30,9,0,1,0,0,0,0
191,L47370,298,308,1477,49,72,0,1,0,0,0,0
2601,L49780,299,309,1422,47,25,0,1,0,0,0,0
3300,L50479,301,310,1390,45,63,0,1,0,0,0,0
6729,L53908,301,310,1891,23,122,0,1,0,0,0,0
4824,L52003,303,311,1493,38,14,0,1,0,0,0,0
6848,L54027,301,311,1757,28,6,0,1,0,0,0,0
1238,M16097,297,308,1502,37,181,0,1,0,0,0,0
199,L47378,298,308,1588,35,99,0,1,0,0,0,0
3703,L50882,302,311,1434,44,15,0,1,0,0,0,0
6984,M21843,300,311,1334,53,150,0,1,0,0,0,0
3601,L50780,301,310,1523,34,181,0,1,0,0,0,0
1737,L48916,298,307,1544,35,132,0,1,0,0,0,0
6992,L54171,300,311,1509,33,172,0,1,0,0,0,0
9921,H39334,298,308,1450,43,28,0,1,0,0,0,0
5593,L52772,302,311,1437,46,65,0,1,0,0,0,0
2910,L50089,300,309,1500,44,122,0,1,0,0,0,0
8041,L55220,300,311,1498,39,23,0,1,0,0,0,0
8525,L55704,298,309,1468,46,10,0,1,0,0,0,0
4475,L51654,302,310,1563,35,8,0,1,0,0,0,0
7611,M22470,300,311,1507,43,41,0,1,0,0,0,0
2405,M17264,299,308,2008,20,178,0,1,0,0,0,0
9048,L56227,297,308,1488,37,69,0,1,0,0,0,0
146,L47325,298,308,1513,33,172,0,1,0,0,0,0
2049,L49228,299,309,1465,41,127,0,1,0,0,0,0
2964,M17823,300,309,1439,43,61,0,1,0,0,0,0
8868,L56047,297,308,1566,41,50,0,1,0,0,0,0
9211,M24070,297,309,2456,13,82,0,1,0,0,0,0
8598,L55777,297,308,1410,47,191,0,1,0,0,0,0
1123,L48302,296,307,1541,38,98,0,1,0,0,0,0
3894,L51073,302,311,1549,40,66,0,1,0,0,0,0
5175,M20034,304,313,1390,47,83,0,1,0,0,0,0
2477,H31890,298,308,1449,42,149,0,1,0,0,0,0
5531,M20390,302,311,1355,50,104,1,0,0,0,0,0
7916,H37329,300,312,1527,35,164,0,1,0,0,0,0
5441,H34854,303,312,1698,30,89,0,1,0,0,0,0
5764,H35177,301,311,1451,39,70,0,1,0,0,0,0
3779,M18638,302,311,1366,54,0,0,1,0,0,0,0
8844,H38257,297,308,1564,38,191,0,1,0,0,0,0
4227,L51406,302,310,1596,37,43,0,1,0,0,0,0
7525,L54704,300,311,1639,31,31,0,1,0,0,0,0
3002,L50181,300,309,1445,43,164,0,1,0,0,0,0
6076,L53255,301,310,1813,28,197,0,1,0,0,0,0
7154,L54333,300,310,1493,47,172,0,1,0,0,0,0
1108,M15967,296,307,1515,42,55,0,1,0,0,0,0
5754,L52933,302,311,1416,54,48,0,1,0,0,0,0
7020,L54199,300,310,1741,27,39,0,1,0,0,0,0
4094,M18953,302,310,1573,32,143,0,1,0,0,0,0
1552,L48731,298,308,1458,40,111,0,1,0,0,0,0
8607,M23466,297,308,1505,37,215,0,1,0,0,0,0
3913,L51092,302,311,1475,40,126,0,1,0,0,0,0
5295,L52474,303,313,1442,48,174,0,1,0,0,0,0
931,M15790,295,305,1453,47,9,0,1,0,0,0,0
130,L47309,298,308,1559,34,126,0,1,0,0,0,0
9041,L56220,297,308,1550,37,54,0,1,0,0,0,0
3420,L50599,301,310,1611,33,144,0,1,0,0,0,0
4347,L51526,301,309,1598,30,124,0,1,0,0,0,0
8329,L55508,298,309,1325,52,127,0,1,0,0,0,0
1288,L48467,298,309,1419,41,105,0,1,0,0,0,0
9931,L57110,298,308,1452,45,63,0,1,0,0,0,0
6441,L53620,300,310,1648,31,46,0,1,0,0,0,0
5052,L52231,303,313,1480,39,176,0,1,0,0,0,0
7960,L55139,301,312,1585,32,50,0,1,0,0,0,0
5127,L52306,304,313,1802,25,170,0,1,0,0,0,0
4137,L51316,301,310,1487,48,36,0,1,0,0,0,0
3481,L50660,301,310,1400,58,79,0,1,0,0,0,0
9585,L56764,299,310,1529,41,17,0,1,0,0,0,0
9976,M24835,298,308,1589,34,174,0,1,0,0,0,0
2828,L50007,300,309,1412,51,153,0,1,0,0,0,0
6088,M20947,300,310,1599,33,7,0,1,0,0,0,0
7696,L54875,300,311,1488,47,22,0,1,0,0,0,0
1580,L48759,298,308,1444,43,176,0,1,0,0,0,0
1571,L48750,298,308,1452,43,158,0,1,0,0,0,0
7750,L54929,300,311,1674,33,172,0,1,0,0,0,0
4831,L52010,303,312,1756,29,28,0,1,0,0,0,0
6951,H36364,300,311,1374,53,66,0,1,0,0,0,0
8367,M23226,298,309,1836,22,18,0,1,0,0,0,0
1799,M16658,298,307,1431,52,92,0,1,0,0,0,0
4199,M19058,302,311,1432,44,195,0,1,0,0,0,0
8046,M22905,300,311,1366,55,36,0,1,0,0,0,0
9150,M24009,297,308,1429,50,129,0,1,0,0,0,0
4538,L51717,302,310,1548,35,170,0,1,0,0,0,0
8352,M23211,298,309,1686,26,189,0,1,0,0,0,0
589,L47768,297,309,1628,33,229,0,1,0,0,0,0
3132,L50311,300,309,1660,32,57,0,1,0,0,0,0
2208,L49387,299,309,1591,37,109,0,1,0,0,0,0
2383,L49562,299,308,1601,31,121,0,1,0,0,0,0
6131,L53310,301,310,1473,44,116,0,1,0,0,0,0
4467,L51646,302,310,1470,41,205,0,1,0,0,0,0
5117,L52296,304,313,1401,53,142,0,1,0,0,0,0
6584,M21443,301,310,1503,38,200,0,1,0,0,0,0
1713,L48892,298,307,1551,33,72,0,1,0,0,0,0
2863,L50042,300,309,1867,23,242,0,0,0,0,0,1
5059,L52238,303,312,1526,42,194,0,1,0,0,0,0
5864,M20723,301,311,1758,25,88,0,1,0,0,0,0
9241,M24100,298,308,1362,49,158,0,1,0,0,0,0
9917,M24776,298,308,1553,34,18,0,1,0,0,0,0
3643,L50822,302,311,1309,57,77,0,1,0,0,0,0
7143,H36556,300,309,1452,41,139,0,1,0,0,0,0
62,M14921,298,309,1592,38,169,0,1,0,0,0,0
7385,L54564,299,310,1614,36,108,0,1,0,0,0,0
6687,L53866,301,311,1715,24,17,0,1,0,0,0,0
6700,M21559,301,310,1516,40,48,0,1,0,0,0,0
2850,L50029,300,309,1766,28,207,0,1,0,0,0,0
8670,M23529,297,308,1471,52,152,0,1,0,0,0,0
1140,M15999,297,307,1569,33,141,0,1,0,0,0,0
5280,L52459,303,313,1522,35,133,0,1,0,0,0,0
2515,L49694,298,308,2069,18,27,0,1,0,0,0,0
4399,M19258,302,310,1563,37,31,0,1,0,0,0,0
6145,M21004,301,311,1615,37,153,0,1,0,0,0,0
6481,L53660,300,309,1775,26,149,0,1,0,0,0,0
1513,H30926,298,308,1503,36,5,0,1,0,0,0,0
9709,L56888,299,310,1664,29,89,0,1,0,0,0,0
7401,M22260,299,310,1633,34,151,0,1,0,0,0,0
1762,L48941,298,307,1950,20,202,0,1,0,0,0,0
5478,L52657,302,312,1763,26,184,0,1,0,0,0,0
8480,L55659,298,309,1627,33,99,0,1,0,0,0,0
636,L47815,298,310,1858,23,114,0,1,0,0,0,0
1963,L49142,297,307,1391,48,109,0,1,0,0,0,0
400,L47579,297,308,1392,49,174,0,1,0,0,0,0
2893,L50072,300,309,1329,54,80,0,1,0,0,0,0
5907,L53086,300,310,1533,35,198,0,1,0,0,0,0
504,M15363,297,309,1442,48,0,0,1,0,0,0,0
712,L47891,297,308,1443,46,110,0,1,0,0,0,0
1506,L48685,298,308,1626,36,210,0,1,0,0,0,0
8653,H38066,297,308,1461,41,108,0,1,0,0,0,0
8706,L55885,297,308,1437,52,37,0,1,0,0,0,0
8964,M23823,297,307,1687,30,82,0,1,0,0,0,0
3990,L51169,302,311,1602,32,120,0,1,0,0,0,0
5164,M20023,304,313,1713,23,50,0,1,0,0,0,0
7269,L54448,300,310,1543,36,30,0,1,0,0,0,0
9580,L56759,299,310,1589,33,5,0,1,0,0,0,0
3199,M18058,300,309,1463,45,11,0,1,0,0,0,0
3772,M18631,302,311,1384,49,192,0,1,0,0,0,0
9913,L57092,298,308,1327,58,9,0,1,0,0,0,0
4381,L51560,301,309,1410,49,223,0,1,0,0,0,0
5981,M20840,300,310,1654,32,180,0,1,0,0,0,0
5228,L52407,303,313,1440,41,12,0,1,0,0,0,0
7305,L54484,300,310,1394,44,121,0,1,0,0,0,0
4027,M18886,302,311,1574,34,215,0,1,0,0,0,0
5424,L52603,302,312,1647,31,52,0,1,0,0,0,0
1413,M16272,298,309,1415,53,194,0,1,0,0,0,0
8772,L55951,297,308,1536,39,202,0,1,0,0,0,0
8611,L55790,297,308,1561,38,0,0,1,0,0,0,0
4654,M19513,303,311,1594,35,13,0,1,0,0,0,0
7183,L54362,300,310,2158,16,32,0,1,0,0,0,0
3257,L50436,301,309,1519,39,167,0,1,0,0,0,0
1832,M16691,297,307,1315,54,180,0,1,0,0,0,0
9949,L57128,298,307,1804,25,108,0,1,0,0,0,0
3885,H33298,302,311,1626,36,44,0,1,0,0,0,0
4462,L51641,302,310,1642,30,195,0,1,0,0,0,0
2823,L50002,300,309,1593,38,140,0,1,0,0,0,0
2927,L50106,300,309,1507,52,163,0,1,0,0,0,0
9262,H38675,298,309,1470,38,10,0,1,0,0,0,0
2594,H32007,298,308,1415,54,6,0,1,0,0,0,0
